participant_id,r,convergence,n_obs,prop_delayed,edge_case
I001,9.999994784879071,True,6,0.3333333333333333,
I002,9.999994784879071,True,6,0.3333333333333333,
I003,9.999994784879071,True,6,0.5,
I004,9.999994784879071,True,6,0.3333333333333333,
I005,9.999994784879071,True,6,0.5,
I006,9.999994784879071,True,6,0.3333333333333333,
I007,9.999994784879071,True,6,0.3333333333333333,
I008,9.999994784879071,True,6,0.3333333333333333,
I009,9.999994784879071,True,6,0.5,
I010,9.999994784879071,True,6,0.3333333333333333,
M001,9.999994784879071,True,6,0.8333333333333334,
M002,9.999994784879071,True,6,0.3333333333333333,
M003,9.999994784879071,True,6,0.3333333333333333,
M004,1e-06,False,6,1.0,always_delayed
M005,9.999994784879071,True,6,0.3333333333333333,
M006,9.999994784879071,True,6,0.5,
M007,9.999994784879071,True,6,0.5,
M008,9.999994784879071,True,6,0.5,
M009,9.999994784879071,True,6,0.6666666666666666,
M010,9.999994784879071,True,6,0.8333333333333334,
P001,9.999994784879071,True,6,0.8333333333333334,
P002,9.999994784879071,True,6,0.6666666666666666,
P003,1e-06,False,6,1.0,always_delayed
P004,1e-06,False,6,1.0,always_delayed
P005,9.999994784879071,True,6,0.8333333333333334,
V001,9.999994784879071,True,6,0.3333333333333333,
V002,9.999994784879071,True,6,0.16666666666666666,
V003,9.999994784879071,True,6,0.16666666666666666,
V004,10.0,False,6,0.0,always_immediate
V005,9.999994784879071,True,6,0.3333333333333333,
